"LBin","Bin","LCounts","Counts","Treatment"
0,1,0,0.006270493427847291,"Truth"
1,2,0.006270493427847291,0.0072199235038536945,"Truth"
2,3,0.0072199235038536945,0.00839758417509565,"Truth"
3,4,0.00839758417509565,0.009878192808872067,"Truth"
4,5,0.009878192808872067,0.011764749960005781,"Truth"
5,6,0.011764749960005781,0.014196121468653754,"Truth"
6,7,0.014196121468653754,0.017346664337585943,"Truth"
7,8,0.017346664337585943,0.0213936411727468,"Truth"
8,9,0.0213936411727468,0.02639869118735606,"Truth"
9,10,0.02639869118735606,0.032057637929710364,"Truth"
10,11,0.032057637929710364,0.037508769576193916,"Truth"
11,12,0.037508769576193916,0.04177757951087149,"Truth"
12,13,0.04177757951087149,0.0447275826105438,"Truth"
13,14,0.0447275826105438,0.04708152355876567,"Truth"
14,15,0.04708152355876567,0.04958366602288582,"Truth"
15,16,0.04958366602288582,0.05255253773339927,"Truth"
16,17,0.05255253773339927,0.05548001373642497,"Truth"
17,18,0.05548001373642497,0.056559486959419106,"Truth"
18,19,0.056559486959419106,0.05371965296724879,"Truth"
19,20,0.05371965296724879,0.04701004316554134,"Truth"
20,21,0.04701004316554134,0.038684781144571995,"Truth"
21,22,0.038684781144571995,0.030891641938354888,"Truth"
22,23,0.030891641938354888,0.02452572736734634,"Truth"
23,24,0.02452572736734634,0.019618064332648313,"Truth"
24,25,0.019618064332648313,0.015899426720765657,"Truth"
25,26,0.015899426720765657,0.01307543602026806,"Truth"
26,27,0.01307543602026806,0.010907487343130526,"Truth"
27,28,0.010907487343130526,0.009219590402924418,"Truth"
28,29,0.009219590402924418,0.007885906174873671,"Truth"
29,30,0.007885906174873671,0.006816930634837077,"Truth"
0,1,0,0.0025523931951951773,"Measured"
1,2,0.0025523931951951773,0.0037352502184548747,"Measured"
2,3,0.0037352502184548747,0.005048300488582977,"Measured"
3,4,0.005048300488582977,0.006683981060273277,"Measured"
4,5,0.006683981060273277,0.008762720326889593,"Measured"
5,6,0.008762720326889593,0.0113445046269394,"Measured"
6,7,0.0113445046269394,0.014383593913886635,"Measured"
7,8,0.014383593913886635,0.01769816514608456,"Measured"
8,9,0.01769816514608456,0.021018906392073555,"Measured"
9,10,0.021018906392073555,0.024111228745886275,"Measured"
10,11,0.024111228745886275,0.026877777276370144,"Measured"
11,12,0.026877777276370144,0.02934111226601862,"Measured"
12,13,0.02934111226601862,0.0315069671708982,"Measured"
13,14,0.0315069671708982,0.033218006712297334,"Measured"
14,15,0.033218006712297334,0.034128918400951544,"Measured"
15,16,0.034128918400951544,0.03385183753935142,"Measured"
16,17,0.03385183753935142,0.03218851059136058,"Measured"
17,18,0.03218851059136058,0.02928293071601796,"Measured"
18,19,0.02928293071601796,0.025582101517474733,"Measured"
19,20,0.025582101517474733,0.021643526971146763,"Measured"
20,21,0.021643526971146763,0.01793009813116018,"Measured"
21,22,0.01793009813116018,0.014703425399809572,"Measured"
22,23,0.014703425399809572,0.012027186897874714,"Measured"
23,24,0.012027186897874714,0.009828115959574068,"Measured"
24,25,0.009828115959574068,0.007966955683998725,"Measured"
25,26,0.007966955683998725,0.006304482428366889,"Measured"
26,27,0.006304482428366889,0.004759704442823518,"Measured"
27,28,0.004759704442823518,0.0033416734862941134,"Measured"
28,29,0.0033416734862941134,0.0021295202503307234,"Measured"
29,30,0.0021295202503307234,0.0012068162010357869,"Measured"
